county,GMcoordinates,name,address,city,joinedAddress,zip
Harrison,"-80.3256627, 39.2599393",Nutter Fort Primary School,1302 Buckhannon Pike,Nutter Fort,"1302 Buckhannon Pike , Nutter Fort, WV, 26301",26301
Harrison,"-80.3428076, 39.2781728",Washington Irving Middle School,443 Lee Ave,Clarksburg,"443 Lee Ave , Clarksburg, WV, 26301",26301
Harrison,"-80.34453409999999, 39.2806451",Harrison Co Alternative Learning Center,Rr 3 Box 43b,Clarksburg,"Rr 3 Box 43b , Clarksburg, WV, 26301",26301
Harrison,"-80.34453409999999, 39.2806451",Wilsonburg Elementary School,Rr 4 Box 1,Clarksburg,"Rr 4 Box 1 , Clarksburg, WV, 26301",26301
Marion,"-80.34455, 39.529531",Mannington Middle School,113 Clarksburg Street,Mannington,"113 Clarksburg Street , Mannington, WV, 26582",26582
Harrison,"-80.345862, 39.37685099999999",Lumberport Middle School,314 Main Street,Lumberport,"314 Main Street , Lumberport, WV, 26386",26386
Harrison,"-80.3479852, 39.29504120000001",North View Elementary School,1400 N 19th Street,Clarksburg,"1400 N 19th Street , Clarksburg, WV, 26301",26301
Harrison,"-80.3495721, 39.3767753",Lumberport Elementary School,Po Box 417 Chestnut & Lyndon Streets,Lumberport,"Po Box 417 Chestnut & Lyndon Streets, Lumberport, WV, 26386",26386
Harrison,"-80.35051899999999, 39.160535",Lost Creek Elementary School,Po Box 128,Lost Creek,"Po Box 128 , Lost Creek, WV, 26385",26385
Harrison,"-80.350843, 39.2612878",Robert C. Byrd High School,1 Eagle Way,Clarksburg,"1 Eagle Way , Clarksburg, WV, 26301",26301
Harrison,"-80.35203349999999, 39.1612035",South Harrison Middle School,Rr 1 Box 58b,Lost Creek,"Rr 1 Box 58b , Lost Creek, WV, 26385",26385
Harrison,"-80.35203349999999, 39.1612035",South Harrison High School,Rr 1 Box 58,Lost Creek,"Rr 1 Box 58 , Lost Creek, WV, 26385",26385
Harrison,"-80.35526999999999, 39.309937",Harrison Co Transitional Middle School,1349 Shinnston Pk,Clarksburg,"1349 Shinnston Pk, Clarksburg, WV, 26301",26301
Harrison,"-80.35883400000002, 39.310815",United Technical Center,251 Marietta St.,Clarksburg,"251 Marietta St., Clarksburg, WV, 26301",26301
Harrison,"-80.35916590000001, 39.2914318",Adamston Elementary School,1636 W Pike St,Clarksburg,"1636 W Pike St , Clarksburg, WV, 26301",26301
Greenbrier,"-80.38476039999999, 37.9721875",Frankford Elementary,21692 Seneca Trail,Frankford,"21692 Seneca Trail , Frankford, WV, 24938",24938
Webster,"-80.3876298, 38.6530821",Hacker Valley Elementary School,11 School Loop Road,Hacker Valley,"11 School Loop Road , Hacker Valley, WV, 26222",26222
Harrison,"-80.3969089, 39.2779669",Mountaineer Middle School,2 Mountaineer Dr,Clarksburg,"2 Mountaineer Dr , Clarksburg, WV, 26301",26301
Harrison,"-80.397701, 39.276026",Liberty High School,1 Mountaineer Dr,Clarksburg,"1 Mountaineer Dr , Clarksburg, WV, 26301",26301
Harrison,"-80.4040406, 39.2018943",West Milford Elementary School,226 School St,West Milford,"226 School St , West Milford, WV, 26451",26451
Lewis,"-80.406618, 39.114994",Jane Lew Elementary School,6536 Main Street,Jane Lew,"6536 Main Street , Jane Lew, WV, 26378",26378
Webster,"-80.4113582, 38.4741449",Webster Springs Elementary School,318 River Drive,Webster Springs,"318 River Drive , Webster Springs, WV, 26288",26288
Lewis,"-80.415087, 39.024501",Peterson-Central Elementary School,509 Berlin Road,Weston,"509 Berlin Road , Weston, WV, 26452",26452
Greenbrier,"-80.4415078, 37.8011158",Lewisburg Elementary,206 North Lee Street,Lewisburg,"206 North Lee Street , Lewisburg, WV, 24901",24901
Lewis,"-80.4623979, 39.039392",Robert L. Bland Middle School,358 Court Avenue,Weston,"358 Court Avenue , Weston, WV, 26452",26452
Greenbrier,"-80.470457, 37.7758556",Greenbrier School Of Practical Nursing,One Spartan Lane,Lewisburg,"One Spartan Lane , Lewisburg, WV, 24901",24901
Greenbrier,"-80.470457, 37.7758556",Greenbrier East High School,One Spartan Lane,Lewisburg,"One Spartan Lane , Lewisburg, WV, 24901",24901
Greenbrier,"-80.4756314, 37.7627578",Ronceverte Elementary,246 Ronceverte Elementary School Drive,Ronceverte,"246 Ronceverte Elementary School Drive, Ronceverte, WV, 24970",24970
Lewis,"-80.478138, 39.01965999999999",Lewis County High School,205 Minuteman Drive,Weston,"205 Minuteman Drive , Weston, WV, 26452",26452
Webster,"-80.506872, 38.4061028",Webster County High School,One Highlander Drive,Upperglade,"One Highlander Drive , Upperglade, WV, 26266",26266
Lewis,"-80.50982300000001, 38.921695",Roanoke Elementary School,1176 Oil Creek Road,Roanoke,"1176 Oil Creek Road , Roanoke, WV, 26447",26447
Hancock,"-80.5252366, 40.4134553",Broadview Elementary School,189 Circle Drive,Weirton,"189 Circle Drive , Weirton, WV, 26062",26062
Nicholas,"-80.53116729999999, 38.2229779",Richwood High School,1 Valley Ave.,Richwood,"1 Valley Ave. , Richwood, WV, 26261",26261
Nicholas,"-80.53117600000002, 38.223092",Richwood Middle School,2 Valley Avenue,Richwood,"2 Valley Avenue , Richwood, WV, 26261",26261
Hancock,"-80.53370439999999, 40.4086851",Weirton Elementary,3428 Pennsylvania Ave,Weirton,"3428 Pennsylvania Ave, Weirton, WV, 26062",26062
Brooke,"-80.53747229999999, 40.3663856",Colliers Primary School,Penn Street,Colliers,"Penn Street , Colliers, WV, 26035",26035
Brooke,"-80.53826, 40.2725069",Franklin Primary School,1305 Washington Pike,Wellsburg,"1305 Washington Pike , Wellsburg, WV, 26070",26070
Hancock,"-80.543061, 40.4166389",Liberty Elementary School,200 Culler Road,Weirton,"200 Culler Road , Weirton, WV, 26062",26062
Monroe,"-80.54463290000001, 37.5865358",Mountain View Elementary & Middle School,Mt. View Drive P.o. Box 620,Union,"Mt. View Drive P.o. Box 620, Union, WV, 24983",24983
Marshall,"-80.54940069999999, 39.9994074",Sand Hill Elementary School,Rr 1 Box 87,Dallas,"Rr 1 Box 87 , Dallas, WV, 26036",26036
Nicholas,"-80.5534124, 38.21897269999999",Cherry River Elementary School,190 Riverside Drive,Richwood,"190 Riverside Drive , Richwood, WV, 26261",26261
Webster,"-80.555126, 38.407934",Glade Middle School,25 Mill Street,Cowen,"25 Mill Street , Cowen, WV, 26206",26206
Webster,"-80.555126, 38.407934",Glade Elementary School,25 Mill St.,Cowen,"25 Mill St. , Cowen, WV, 26206",26206
Hancock,"-80.55907499999999, 40.543326",Oak Glen High School,195 Golden Bear Drive,New Cumberland,"195 Golden Bear Drive , New Cumberland, WV, 26047",26047
Marshall,"-80.55961219999999, 39.8225811",Cameron High School,61 Maple Avenue,Cameron,"61 Maple Avenue , Cameron, WV, 26033",26033
Hancock,"-80.5599587, 40.5444746",Oak Glen Middle School,39 Golden Bear Drive,New Cumberland,"39 Golden Bear Drive , New Cumberland, WV, 26047",26047
Hancock,"-80.56128540000002, 40.6157365",A. T. Allison Elementary School,600 Railroad Street,Chester,"600 Railroad Street , Chester, WV, 26034",26034
Marshall,"-80.5651907, 39.82610760000001",Cameron Elementary School,12 Church Street,Cameron,"12 Church Street , Cameron, WV, 26033",26033
Hancock,"-80.5710948, 40.418015",Weirton Heights Elementary School,160 South 12th Street,Weirton,"160 South 12th Street , Weirton, WV, 26062",26062
Hancock,"-80.5753514, 40.4060847",Weir Middle School,125 Sinclair Avenue,Weirton,"125 Sinclair Avenue , Weirton, WV, 26062",26062
Hancock,"-80.576799, 40.5290139",New Manchester Elementary School,128 Frankfort Road,New Cumberland,"128 Frankfort Road , New Cumberland, WV, 26047",26047
Hancock,"-80.57708699999999, 40.4052795",Weir High School,100 Red Rider Road,Weirton,"100 Red Rider Road , Weirton, WV, 26062",26062
Brooke,"-80.577852, 40.324597",Hooverson Heights Primary School,200 Rockdale Road,Follansbee,"200 Rockdale Road , Follansbee, WV, 26037",26037
Brooke,"-80.594312, 40.329752",Jefferson Primary School,Jefferson Street,Follansbee,"Jefferson Street , Follansbee, WV, 26037",26037
Brooke,"-80.5953079, 40.3355161",Follansbee Middle School,1400 Main Street,Follansbee,"1400 Main Street , Follansbee, WV, 26037",26037
Ohio,"-80.5982774, 40.1696903",West Liberty Elementary School,745 Van Meter Way,Wheeling,"745 Van Meter Way , Wheeling, WV, 26003",26003
Brooke,"-80.6105096, 40.278004",Wellsburg Primary School,1448 Main Street,Wellsburg,"1448 Main Street , Wellsburg, WV, 26070",26070
Brooke,"-80.611811, 40.277456",Wellsburg Middle School,1447 Main Street,Wellsburg,"1447 Main Street , Wellsburg, WV, 26070",26070
Brooke,"-80.6118381, 40.3953038",Lauretta B Millsop Primary School,Legion & Swearingen,Weirton,"Legion & Swearingen , Weirton, WV, 26062",26062
Ohio,"-80.628945, 40.042719",Middle Creek Elementary School,579 Middle Creek Road,Triadelphia,"579 Middle Creek Road , Triadelphia, WV, 26059",26059
Nicholas,"-80.64977309999999, 38.3273324",Nicholas County Career/Technical Center,215 Milam Addition Rd,Craigsville,"215 Milam Addition Rd , Craigsville, WV, 26205",26205
Ohio,"-80.6513676, 40.0278732",Elm Grove Elementary School,85 Mil Acres Dr,Wheeling,"85 Mil Acres Dr , Wheeling, WV, 26003",26003
Brooke,"-80.6516039, 40.225851",Beech Bottom Primary,High Street,Beech Bottom,"High Street , Beech Bottom, WV, 26030",26030
Nicholas,"-80.6519961, 38.329149",Gauley River Elementary,100 School Street,Craigsville,"100 School Street, Craigsville, WV, 26205",26205
Braxton,"-80.6529971, 38.7216606",Flatwoods Elementary School,Po Box 130,Flatwoods,"Po Box 130 , Flatwoods, WV, 26621",26621
Ohio,"-80.65454009999999, 40.0692047",Wheeling Park High School,1976 Park View Rd,Wheeling,"1976 Park View Rd , Wheeling, WV, 26003",26003
Braxton,"-80.65688209999999, 38.8588926",Burnsville Elementary School,Po Box 35 228 Kanawha Ave,Burnsville,"Po Box 35 228 Kanawha Ave, Burnsville, WV, 26335",26335
Monroe,"-80.6580278, 37.4834722",Monroe County Vocational Center,"Route 1, Box 97 James Monroe Drive",Lindside,"Route 1, Box 97 James Monroe Drive, Lindside, WV, 24951",24951
Ohio,"-80.6624185, 40.0426087",Bridge Street Middle School,19 Junior Ave,Wheeling,"19 Junior Ave , Wheeling, WV, 26003",26003
Braxton,"-80.6636461, 38.6945697",Braxton County Middle School,100 Carter Braxton Drive,Sutton,"100 Carter Braxton Drive , Sutton, WV, 26601",26601
Braxton,"-80.66719069999999, 38.6958124",Braxton County High School,200 Jerry Burton Drive,Sutton,"200 Jerry Burton Drive , Sutton, WV, 26601",26601
Ohio,"-80.67478059999999, 40.0600785",Triadelphia Middle School,1636 National Rd,Wheeling,"1636 National Rd , Wheeling, WV, 26003",26003
Marshall,"-80.67522459999999, 39.9967406",Hilltop Elementary School,2 Ram Drive,Wheeling,"2 Ram Drive , Wheeling, WV, 26003",26003
Ohio,"-80.6762987, 40.0600323",Steenrod Elementary School,100 Clarks Ln,Wheeling,"100 Clarks Ln , Wheeling, WV, 26003",26003
Wetzel,"-80.6772644, 39.5641231",Valley High School,One Lumberjack Lane,Pine Grove,"One Lumberjack Lane , Pine Grove, WV, 26419",26419
Marshall,"-80.6795751, 39.9968277",Sherrard Middle School,1000 Fairmont Pike,Wheeling,"1000 Fairmont Pike , Wheeling, WV, 26003",26003
Greenbrier,"-80.6869167, 37.965",Rupert Elementary,Po Drawer D,Rupert,"Po Drawer D , Rupert, WV, 25984",25984
Ohio,"-80.691768, 40.0449589",Bethlehem Elementary School,22 Chapel Rd,Wheeling,"22 Chapel Rd , Wheeling, WV, 26003",26003
Ohio,"-80.6931554, 40.07729399999999",Woodsdale Elementary School,1 Bethany Pike,Wheeling,"1 Bethany Pike , Wheeling, WV, 26003",26003
Ohio,"-80.7012561, 40.114285",Warwood School,150 Viking Dr,Wheeling,"150 Viking Dr , Wheeling, WV, 26003",26003
Nicholas,"-80.705536, 38.228907",Panther Creek Elementary School,10068 Canvas Nettie Road P.o.box 39,Nettie,"10068 Canvas Nettie Road P.o.box 39, Nettie, WV, 26681",26681
Braxton,"-80.7074118, 38.6673006",Sutton Elementary School,288 N Hill Road,Sutton,"288 N Hill Road , Sutton, WV, 26601",26601
Lewis,"-80.7098714, 39.0126472",Leading Creek Elementary,15300 US Highway 33W,Linn,"15300 US Highway 33W, Linn, WV, 26384",26384
Braxton,"-80.710011, 38.579581",Little Birch Elementary School,55 Little Birch Road,Sutton,"55 Little Birch Road, Sutton, WV, 26601",26601
Marshall,"-80.7222431, 39.9206454",Mcninch Primary School,2600 Fourth Street,Moundsville,"2600 Fourth Street , Moundsville, WV, 26041",26041
Ohio,"-80.7236073, 40.0447839",Ritchie Elementary School,3700 Wood St,Wheeling,"3700 Wood St , Wheeling, WV, 26003",26003
Ohio,"-80.726417, 40.04786989999999",Wheeling Middle School,35th and Chapline St,Wheeling,"35th and Chapline St , Wheeling, WV, 26003",26003
Marshall,"-80.7282553, 39.989034",Center Mcmechen Elementary School,800 Marshall Street,Mcmechen,"800 Marshall Street , Mcmechen, WV, 26040",26040
Greenbrier,"-80.7325287, 38.0664173",Crichton Elementary,Po Box 205,Quinwood,"Po Box 205 , Quinwood, WV, 25981",25981
Greenbrier,"-80.7329419, 38.0030774",Greenbrier West High School,Po Box 325 One Cavalier Drive,Charmco,"Po Box 325 One Cavalier Drive, Charmco, WV, 25958",25958
Ohio,"-80.7335621, 40.0722792",Madison Elementary School,91 Zane St,Wheeling,"91 Zane St , Wheeling, WV, 26003",26003
Marshall,"-80.7363211, 39.9309101",Gateway Achievement Center,21 Park Street,Moundsville,"21 Park Street , Moundsville, WV, 26041",26041
Marshall,"-80.7451428, 39.91825499999999",Central Elementary School,750 Tomlinson Avenue,Moundsville,"750 Tomlinson Avenue , Moundsville, WV, 26041",26041
Marshall,"-80.74544999999999, 39.92239199999999",Moundsville Middle School,223 Tomlinson Avenue,Moundsville,"223 Tomlinson Avenue , Moundsville, WV, 26041",26041
Nicholas,"-80.7483056, 38.4971667",Birch River Elementary School,379 Birch River Road,Birch River,"379 Birch River Road , Birch River, WV, 26610",26610
Marshall,"-80.7528797, 39.9475823",Glen Dale Elementary School,407 Seventh Street,Glen Dale,"407 Seventh Street , Glen Dale, WV, 26038",26038
Marshall,"-80.7532632, 39.9416792",John Marshall Adult Prep,John Marshall High School 1300 Wheeling Avenue,Glen Dale,"John Marshall High School 1300 Wheeling Avenue, Glen Dale, WV, 26038",26038
Marshall,"-80.7532632, 39.9416792",John Marshall High School,1300 Wheeling Avenue,Glen Dale,"1300 Wheeling Avenue , Glen Dale, WV, 26038",26038
Summers,"-80.7542478, 37.6515095",Talcott Elementary School,P O Box 140,Talcott,"P O Box 140 , Talcott, WV, 24981",24981
Doddridge,"-80.755513, 39.3003339",Doddridge County Preschool Center,2945 Smithton Road,West Union,"2945 Smithton Road, West Union, WV, 26426",26426
Doddridge,"-80.7735429, 39.29271",Doddridge County Elementary School,182 Doddridge School Road,West Union,"182 Doddridge School Road, West Union, WV, 26456",26456
Braxton,"-80.774655, 38.671378",Davis Elementary School,113 Fifth Street,Gassaway,"113 Fifth Street , Gassaway, WV, 26624",26624
Doddridge,"-80.77487289999999, 39.2924959",Doddridge County Middle School,65 Doddridge School Road,West Union,"65 Doddridge School Road, West Union, WV, 26456",26456
Greenbrier,"-80.7801418, 37.9685215",Rainelle Elementary,701 Kanawha Avenue,Rainelle,"701 Kanawha Avenue , Rainelle, WV, 25962",25962
Doddridge,"-80.7857567, 39.2771531",Doddridge County High School,79 Bulldog Drive,West Union,"79 Bulldog Drive , West Union, WV, 26456",26456
Monroe,"-80.79153149999999, 37.4009168",Peterstown Middle School,108 College Drive,Peterstown,"108 College Drive , Peterstown, WV, 24963",24963
Monroe,"-80.7928708, 37.4004768",Peterstown Elementary,36 College Drive,Peterstown,"36 College Drive , Peterstown, WV, 24963",24963
Nicholas,"-80.8002546, 38.3194084",Glade Creek Elementary School,7950 Webster Road,Summersville,"7950 Webster Road , Summersville, WV, 26651",26651
Gilmer,"-80.81851309999999, 38.9374884",Gilmer County Elementary School,99 Fairground Road,Glenville,"99 Fairground Road, Glenville, WV, 26351",26351
Nicholas,"-80.83027030000001, 38.322379",Summersville Middle School,40 Grizzly Rd,Summersville,"40 Grizzly Rd , Summersville, WV, 26651",26651
Nicholas,"-80.8314911, 38.3216046",Nicholas County High School,30 Grizzly Rd,Summersville,"30 Grizzly Rd , Summersville, WV, 26651",26651
Gilmer,"-80.8342108, 38.9388632",Gilmer County High School,300 Pine Street,Glenville,"300 Pine Street , Glenville, WV, 26351",26351
Wetzel,"-80.84743019999999, 39.6791762",New Martinsville School,20 E Benjamin Drive,New Martinsville,"20 E Benjamin Drive , New Martinsville, WV, 26155",26155
Nicholas,"-80.8528935, 38.209111",Mt Nebo Elementary School,Po Box 160 110 Schoolhouse Lane,Mt. Nebo,"Po Box 160 110 Schoolhouse Lane, Mt. Nebo, WV, 26651",26651
Braxton,"-80.853968, 38.638059",Frametown Elementary School,Hc 61 Box 14,Frametown,"Hc 61 Box 14 , Frametown, WV, 26623",26623
Nicholas,"-80.856742, 38.278281",Summersville Elementary School,108 Mckees Creek Rd,Summersville,"108 Mckees Creek Rd , Summersville, WV, 26651",26651
Wetzel,"-80.85759929999999, 39.6445214",Wetzel Co. Ctr. For Children & Families,Rr2 Box 107,New Martinsville,"Rr2 Box 107 , New Martinsville, WV, 26155",26155
Fayette,"-80.8600282, 37.866317",Meadow Bridge Elementary,2725 Main Street,Meadow Bridge,"2725 Main Street , Meadow Bridge, WV, 25976",25976
Fayette,"-80.8600685, 37.8663527",Meadow Bridge High,2775 Main Street,Meadow Bridge,"2775 Main Street , Meadow Bridge, WV, 25976",25976
Wetzel,"-80.8606265, 39.6461944",Magnolia High School,601 Maple Avenue,New Martinsville,"601 Maple Avenue , New Martinsville, WV, 26155",26155
Nicholas,"-80.87547289999999, 38.1566215",Mt Lookout Elementary School,1945 Mt. Lookout Road,Mt Lookout,"1945 Mt. Lookout Road , Mt Lookout, WV, 26678",26678
Summers,"-80.8881048, 37.7067055",Summers County High School,One Bobcat Drive,Hinton,"One Bobcat Drive , Hinton, WV, 25951",25951
Summers,"-80.88836409999999, 37.6745007",Summers Middle School,400 Temple St,Hinton,"400 Temple St , Hinton, WV, 25951",25951
Summers,"-80.8915339, 37.670299",Hinton Area Elementary School,121 Park Avenue,Hinton,"121 Park Avenue , Hinton, WV, 25951",25951
Tyler,"-80.8946742, 39.5206006",Tyler Consolidated Middle School,1993 Silver Knight Drive,Sistersville,"1993 Silver Knight Drive , Sistersville, WV, 26175",26175
Tyler,"-80.8946742, 39.5206006",Tyler Consolidated High School,1993 Silver Knight Drive,Sistersville,"1993 Silver Knight Drive , Sistersville, WV, 26175",26175
Wetzel,"-80.92624289999999, 39.6103016",Paden City Elementary School,510 N Second Avenue,Paden City,"510 N Second Avenue , Paden City, WV, 26159",26159
Wetzel,"-80.9313264, 39.6052878",Paden City High School,201 N Fourth Avenue,Paden City,"201 N Fourth Avenue , Paden City, WV, 26159",26159
Nicholas,"-80.9508895, 38.2850748",Zela Elementary School,165 Country Road,Summersville,"165 Country Road , Summersville, WV, 26651",26651
Ritchie,"-80.9539475, 39.0626312",Smithville Elementary,P O Box 30,Smithville,"P O Box 30 , Smithville, WV, 26178",26178
Mercer,"-80.9547709, 37.3398449",Oakvale School,2503 Goodwins Chapel Road,Princeton,"2503 Goodwins Chapel Road , Princeton, WV, 24740",24740
Fayette,"-80.9688239, 38.1107386",Midland Trail High,Po Box 89 Rt 60-E,Hico,"Po Box 89 Rt 60-E, Hico, WV, 25854",25854
Ritchie,"-80.97206229999999, 39.286057",Creed Collins Elementary,512 Collins Avenue,Pennsboro,"512 Collins Avenue , Pennsboro, WV, 26415",26415
Summers,"-80.9760556, 37.6856403",Jumping Branch Elementary School,P O Box 9,Jumping Branch,"P O Box 9 , Jumping Branch, WV, 25969",25969
Tyler,"-81.00018779999999, 39.5549861",Sistersville Elementary School,651 Terrace Circle,Sistersville,"651 Terrace Circle , Sistersville, WV, 26175",26175
Mercer,"-81.00604899999999, 37.42475750000001",Athens School,Po Box 568,Athens,"Po Box 568 , Athens, WV, 24712",24712
Clay,"-81.0343194, 38.5869375",Big Otter Elementary School,Po Box 100 59 Ossia Road,Ivydale,"Po Box 100 59 Ossia Road, Ivydale, WV, 25113",25113
Ritchie,"-81.044167, 39.213475",Harrisville Elementary,1201 E Main Street,Harrisville,"1201 E Main Street , Harrisville, WV, 26362",26362
Calhoun,"-81.0592741, 38.9498905",Pleasant Hill School,3254 N Calhoun Hwy,Grantsville,"3254 N Calhoun Hwy , Grantsville, WV, 26147",26147
Mercer,"-81.0599572, 37.4286616",Pikeview High School,3566 Eads Mill Road,Princeton,"3566 Eads Mill Road , Princeton, WV, 24740",24740
Mercer,"-81.061092, 37.427192",Pikeview Middle School,3550 Eads Mill Road,Princeton,"3550 Eads Mill Road , Princeton, WV, 24740",24740
Ritchie,"-81.06347, 39.262663",Ritchie County High School,107 Ritchie County School Rd,Ellenboro,"107 Ritchie County School Rd , Ellenboro, WV, 26346",26346
Ritchie,"-81.0641006, 39.2626941",Ritchie County Middle,105 Ritchie County School Rd,Ellenboro,"105 Ritchie County School Rd , Ellenboro, WV, 26346",26346
Fayette,"-81.065429, 38.006748",Gatewood Elementary,5094 Gatewood Road,Fayetteville,"5094 Gatewood Road , Fayetteville, WV, 25840",25840
Clay,"-81.08316769999999, 38.460473",Clay Middle School,Po Box 489 419 Church Street,Clay,"Po Box 489 419 Church Street, Clay, WV, 25043",25043
Clay,"-81.0836987, 38.460489",Clay Elementary School,Po Box 600 219 Church Street,Clay,"Po Box 600 219 Church Street, Clay, WV, 25043",25043
Clay,"-81.09237639999999, 38.4460987",Clay County High School,Po Box 729 1 Panther Drive,Clay,"Po Box 729 1 Panther Drive, Clay, WV, 25043",25043
Raleigh,"-81.0942426, 37.7040935",Shady Spring Elementary,Po Box 2009,Shady Spring,"Po Box 2009 , Shady Spring, WV, 25918",25918
Raleigh,"-81.0942426, 37.7040935",Shady Spring High,Po Box 2001,Shady Spring,"Po Box 2001 , Shady Spring, WV, 25918",25918
Mercer,"-81.09446179999999, 37.3706849",Straley Elementary School,810 Straley Avenue,Princeton,"810 Straley Avenue , Princeton, WV, 24740",24740
Mercer,"-81.0954184, 37.3788847",Mercer County Early Learning Center,821 Broadway Street,Princeton,"821 Broadway Street , Princeton, WV, 24740",24740
Calhoun,"-81.0959455, 38.9234195",Calhoun-Gilmer Career Center,5260 E Little Kanawha Hwy,Grantsville,"5260 E Little Kanawha Hwy, Grantsville, WV, 26147",26147
Fayette,"-81.09954789999999, 38.1362201",Ansted Elementary,Po Box 609,Ansted,"Po Box 609 , Ansted, WV, 25812",25812
Mercer,"-81.09971039999999, 37.3606943",Princeton Senior High School,1321 Stafford Drive,Princeton,"1321 Stafford Drive , Princeton, WV, 24740",24740
Mercer,"-81.1001355, 37.3671685",Mercer Elementary School,1200 Mercer Street,Princeton,"1200 Mercer Street , Princeton, WV, 24740",24740
Mercer,"-81.10179099999999, 37.354954",Princeton Primary,219b Old Bluefield Road,Princeton,"219b Old Bluefield Road , Princeton, WV, 24740",24740
Raleigh,"-81.1026262, 37.6938945",Shady Spring Middle School,500 Flat Top Road,Shady Spring,"500 Flat Top Road , Shady Spring, WV, 25918",25918
Mercer,"-81.1030573, 37.4786642",Spanishburg School,Po Box 7,Spanishburg,"Po Box 7 , Spanishburg, WV, 25922",25922
Mercer,"-81.1045068, 37.3687344",Princeton Middle School,300 N. Johnston Street,Princeton,"300 N. Johnston Street , Princeton, WV, 24740",24740
Mercer,"-81.1046952, 37.3600179",Mercer County Technical Education Center,1397 Stafford Drive,Princeton,"1397 Stafford Drive , Princeton, WV, 24740",24740
Fayette,"-81.1052421, 38.0525436",Fayetteville Elementary,200 Wiseman Avenue,Fayetteville,"200 Wiseman Avenue , Fayetteville, WV, 25840",25840
Calhoun,"-81.1129632, 38.8376242",Calhoun Middle/High School,50 Underwood Circle,Mt. Zion,"50 Underwood Circle , Mt. Zion, WV, 26151",26151
Fayette,"-81.1131642, 38.0467048",Fayetteville High,515 West Maple Avenue,Fayetteville,"515 West Maple Avenue , Fayetteville, WV, 25840",25840
Calhoun,"-81.1286808, 38.7893803",Arnoldsburg School,Post Office Box 159,Arnoldsburg,"Post Office Box 159 , Arnoldsburg, WV, 25234",25234
Fayette,"-81.1335433, 37.9995935",Rosedale Elementary,4001 Summerlee Rd,Oak Hill,"4001 Summerlee Rd , Oak Hill, WV, 25901",25901
Fayette,"-81.142077, 37.98552",New River Elementary,262 Oyler Avenue,Oak Hill,"262 Oyler Avenue , Oak Hill, WV, 25901",25901
Fayette,"-81.14692509999999, 37.9888198",Fayette Institute Of Technology,300 West Oyler Avenue,Oak Hill,"300 West Oyler Avenue , Oak Hill, WV, 25901",25901
Fayette,"-81.14838979999999, 37.9911471",Oak Hill High,350 West Oyler Avenue,Oak Hill,"350 West Oyler Avenue , Oak Hill, WV, 25901",25901
Mercer,"-81.151944, 37.3373018",Glenwood School,1734 Glenwood Park Road,Princeton,"1734 Glenwood Park Road , Princeton, WV, 24740",24740
Raleigh,"-81.15391699999999, 37.812429",Stanaford Elementary School,950 Stanaford Road,Beckley,"950 Stanaford Road , Beckley, WV, 25801",25801
Raleigh,"-81.155153, 37.784953",Beckley-Stratton Middle School,401 Gray Flats Road,Beckley,"401 Gray Flats Road , Beckley, WV, 25801",25801
Raleigh,"-81.15519599999999, 37.7832277",Beckley Elementary,399 Gray Flats Road,Beckley,"399 Gray Flats Road , Beckley, WV, 25801",25801
Fayette,"-81.1579053, 37.9738781",Collins Middle,601 Jones Avenue,Oak Hill,"601 Jones Avenue , Oak Hill, WV, 25901",25901
Fayette,"-81.1632868, 37.8942657",Mount Hope Elementary,408 Lincoln Street,Mount Hope,"408 Lincoln Street , Mount Hope, WV, 25880",25880
Raleigh,"-81.16825469999999, 37.8002154",Woodrow Wilson High School,400 Stanaford Road,Beckley,"400 Stanaford Road , Beckley, WV, 25801",25801
Raleigh,"-81.1685098, 37.7999083",Academy Of Careers And Technology,390 Stanaford Road,Beckley,"390 Stanaford Road , Beckley, WV, 25801",25801
Raleigh,"-81.17383699999999, 37.766447",Stratton Elementary,1129 South Fayette Street,Beckley,"1129 South Fayette Street , Beckley, WV, 25801",25801
Clay,"-81.1791452, 38.3306638",Lizemore Elementary School,Po Box 70 #1 Lizemore Street,Lizemore,"Po Box 70 #1 Lizemore Street, Lizemore, WV, 25125",25125
Pleasants,"-81.1797971, 39.4243966",St. Marys High School,2330 N Pleasants Hwy,St Marys,"2330 N Pleasants Hwy, St Marys, WV, 26170",26170
Pleasants,"-81.180206, 39.422841",Mid Ohio Valley Technical Institute,2134 N Pleasants Highway,St Marys,"2134 N Pleasants Highway , St Marys, WV, 26170",26170
Raleigh,"-81.191154, 37.771575",Park Middle School,212 Park Avenue,Beckley,"212 Park Avenue , Beckley, WV, 25801",25801
Raleigh,"-81.191169, 37.82106",Cranberry-Prosperity Elementary,4575 Robert C Byrd Dr,Beckley,"4575 Robert C Byrd Dr , Beckley, WV, 25801",25801
Nicholas,"-81.192036, 38.254408",Dixie Elementary School,Po Box 288 1988 Dixie Highway,Dixie,"Po Box 288 1988 Dixie Highway, Dixie, WV, 25059",25059
Raleigh,"-81.193389, 37.847952",Bradley Elementary School,210 Bradley School Road,Mt Hope,"210 Bradley School Road , Mt Hope, WV, 25880",25880
Mercer,"-81.19679, 37.406273",Montcalm Elementary School,Rt 2 Box 35,Rock,"Rt 2 Box 35 , Rock, WV, 24747",24747
Raleigh,"-81.197519, 37.807839",Maxwell Hill Elementary,1001 Maxwell Hill Road,Beckley,"1001 Maxwell Hill Road , Beckley, WV, 25801",25801
