Library,address,GMcoordinates
Marion County Public Library,"321 Monroe St. Fairmont, WV 26554-2952","-80.1447337, 39.4848126"
Marmet Public Library,"9303 Oregon Ave. Marmet, WV 25315-2027","-81.568275, 38.2460112"
Martinsburg-Berkeley Co. Public Library,"101 W. King St. Martinsburg, WV 25401-3209","-77.96431749999999, 39.4559643"
Mary H. Weir Public Library,"3442 Main St. Weirton, WV 26062-4506","-80.58936489999999, 40.4004816"
Mason City Public Library,"8 Brown St. Mason, WV 25260-0609","-82.03104859999999, 39.0190451"
Mason County Public Library,"508 Viand St. Point Pleasant, WV 25550-1119","-82.13652069999999, 38.8439764"
Matewan Public Library,"PO Box 716 Matewan, WV 25678-0111","-82.165952, 37.623549"
McDowell Public Library,"90 Howard St. Welch, WV 24801-8079","-81.58278779999999, 37.4326549"
Meadow Bridge Public Library,"53 Montrado Street Meadow Bridge, WV 25976-0354","-80.8547102, 37.8609783"
Milton Public Library,"1140 Smith St. Milton, WV 25541-1398","-82.1333243, 38.4366096"
Mingo County Public Library,"PO Box 10 Delbarton, WV 25670-0100","-82.18404439999999, 37.7106134"
Monroe County Public Library,"103 South St. Union, WV 24983-0558","-80.54243009999999, 37.5898875"
Montgomery Public Library,"507 Ferry St. Montgomery, WV 25136-2229","-81.32218960000002, 38.1822081"
Morgan County Public Library,"105 Congress St. Berkeley Springs, WV 25411-1523","-78.22674289999999, 39.62783530000001"
Morgantown Public Library,"373 Spruce St. Morgantown, WV 26505-5564","-79.9546371, 39.6302408"
Moundsville-Marshall County Public Library,"700 Fifth St. Moundsville, WV 26041-9990","-80.7450286, 39.9203904"
Mountaintop Public Library,"PO Box 217 Thomas, WV 26292-0217","-79.493831, 39.147449"
Mt. Hope Public Library,"500 Main St. Mt. Hope, WV 25880-1002","-81.14937669999999, 37.9713439"
Mullens Area Public Library,"102 Fourth St. Mullens, WV 25882-1410","-81.38061789999999, 37.58495449999999"
Musselman-South Berkeley Community Library,"126 Excellence Way Inwood, WV 25428-0007","-78.04147669999999, 39.3518554"
New Haven Public Library,"106 Main St. New Haven, WV 25265-9999","-81.9729715, 38.9889237"
New Martinsville Public Library,"160 Washington St. New Martinsville, WV 26155-1298","-80.865257, 39.6401029"
Nitro Public Library,"1700 Park Ave. Nitro, WV 25143-2800","-81.8461513, 38.4223234"
North Berkeley Public Library,"1255 T. J. Jackson Drive Falling Waters, WV 25419","-77.9151943, 39.5470215"
Northfork Public Library,"PO Box 229 Northfork, WV 24868-0229","-81.435458, 37.415205"
Nutter Fort Public Library,"1300 Buckhannon Pike Nutter Fort, WV 26301-4406","-80.3257266, 39.2595929"
Oak Hill Public Library,"611 Main St. Oak Hill, WV 25901-3452","-81.1411947, 37.9760183"
Oceana Public Library,"PO Box 1768 Oceana, WV 24870-1768","-81.6346674, 37.6956208"
Ohio County Public Library,"52 16th St. Wheeling, WV 26003-3696","-80.7199691, 40.0635556"
Ohio Valley University Library,"1 Campus View Drive Vienna, WV 26101","-81.539189, 39.3123653"
Paden City Public Library,"114 S. 4th Ave. Paden City, WV 26159-1408","-80.9347806, 39.6033101"
Parkersburg/Wood Co. Public Library,3100 Emerson Ave. 3100 Emerson Ave.,"-81.537508, 39.285765"
Paw Paw Public Library,"PO Box 9 Paw Paw, WV 25434-0009","-78.457952, 39.527662"
Pendleton County Public Library,"PO Box 519 Franklin, WV 26807-0519","-79.329840, 38.645271"
Pennsboro Public Library,"411 Main St. Pennsboro, WV 26415-0368","-80.9679146, 39.2849408"
Peterstown Public Library,"PO Box 698 Peterstown, WV 24963-0698","-80.792876, 37.400465"
Philippi Public Library,"91 South Main St. Philippi, WV 26416-1317","-80.03768699999999, 39.15132"
Piedmont Public Library,"1 Childs Ave. Piedmont, WV 26750-1234","-79.0473466, 39.4803119"
Pine Grove Public Library,"PO Box 416 Pine Grove, WV 26419-0416","-80.678686, 39.565994"
Pioneer Memorial Public Library,"PO Drawer 13 Harman, WV 26270-0013","-79.521287, 38.920575"
Pleasants County Public Library,"101 Lafayette St. St. Mary's, WV 26170-1025","-81.2082899, 39.3901245"
Poca Public Library,"PO Box 606 Poca, WV 25159-0018","-81.813188, 38.475685"
Pocahontas Co. Free Libraries,"500 8th St. Marlinton, WV 24954-1239","-80.0924572, 38.2209158"
Princeton Public Library,"920 Mercer St. Princeton, WV 24740-2932","-81.0962034, 37.3696887"
Putnam County Public Library,"4219 State Rt. 34 Hurricane, WV 25526-7307","-81.93278459999999, 38.45982619999999"
Rainelle Public Library,"378 Seventh St. Rainelle, WV 25962-1649","-80.762035, 37.970497"
Raleigh County Public Library,"221 N. Kanawha St. Beckley, WV 25801-4716","-81.1873667, 37.7796768"
Richwood Public Library,"8 White Ave. Richwood, WV 26261-1338","-80.5298924, 38.2248897"
Ritchie County Public Library,"608 East Main Street Harrisville, WV 26362-1212","-81.047911, 39.209264"
Riverside Public Library,"R.H.S. - 1 Warrior Way, Suite 104 Belle, WV 25015-1358","-81.512694, 38.207217"
Roane County Public Library,"110 Parking Plaza Spencer, WV 25276-1398","-81.3511645, 38.8033388"
Ronceverte Public Library,"712 W. Main St. Ronceverte, WV 24970-9755","-80.46982609999999, 37.747199"
Rupert Public Library,"PO Box 578 Rupert, WV 25984-0578","-80.687905, 37.962507"
Russell Memorial Public Library,"PO Box 517 Mill Creek, WV 26280-0517","-79.971586, 38.729220"
Salt Rock Public Library,"5575 Madison Creek Road Salt Rock, WV 25559-9801","-82.22169629999999, 38.3211767"
Shady Spring Public Library,"PO Box 1229 Shady Spring, WV 25918-8614","-81.100281, 37.695407"
Shepherdstown Public Library,"PO Box 278 Shepherdstown, WV 25443-0278","-77.805929, 39.430714"
Sissonville Public Library,"1 Tinney Lane Charleston, WV 25312-9411","-81.6706651, 38.47924400000001"
Sistersville Public Library,"518 Wells St. Sistersville, WV 26175-1408","-80.9948045, 39.5649119"
Sophia Public Library,"103 First St. Sophia, WV 25921-1309","-81.2527515, 37.7083126"
South Charleston Public Library,"312 4th Ave. South Charleston, WV 25303-1297","-81.6938078, 38.3662164"
South Jefferson Public Library,"PO Box 17 Summit Point, WV 25446-0017","-77.95777489999999, 39.2489911"
South Parkersburg Public Library,"1807 Blizzard Dr. South Parkersburg, WV 26101-6428","-81.5449788, 39.2399493"
Southern Area Public Library,"PO Box 282 Lost Creek, WV 26385-0282","-80.350415, 39.160000"
St. Albans Public Library,"602 4th St. St. Albans, WV 25177-2820","-81.8337516, 38.3855836"
Summers County Public Library,"201 Temple St. Hinton, WV 25951-2330","-80.891075, 37.674043"
Summersville Public Library,"6201 Webster Road Summersville, WV 26651-9336","-80.8303912, 38.31153219999999"
Sutton Public Library,"500 Main St. Sutton, WV 26601-1347","-80.706828, 38.66416299999999"
Swaney Memorial Library,"PO Box 608 New Cumberland, WV 26047-0608","-80.605689, 40.4959644"
Taylor County Public Library,"200 Beech St. Grafton, WV 26354-1834","-80.025436, 39.336636"
Terra Alta Public Library,"701-B East State Ave. Terra Alta, WV 26764-1204","-79.5400715, 39.4438553"
Tyler County Public Library,"PO Box 124 Middlebourne, WV 26149-0124","-80.902645, 39.494035"
Upshur County Public Library,"1150 Route 20 South Road Buckhannon, WV 26201-8843","-80.2312688, 38.9708209"
Valley Head Public Library,"PO Box 98 Valley Head, WV 26294-0098","-80.035205, 38.543383"
Vienna Public Library,"2300 River Rd. Vienna, WV 26105-1335","-81.5533437, 39.3224643"
Walton Public Library,"2 Cunningham Lane Walton, WV 25286","-81.4014335, 38.6378215"
War Public Library,"PO Box 68 War, WV 24892-0068","-81.7148596, 37.2653012"
Waverly Public Library,"450 Virginia Street Waverly, WV 26184-9766","-81.3834387, 39.3384391"
Wayne County Public Library,"1200 Oak St. Kenova, WV 25530-1335","-82.5743281, 38.3998783"
Wayne Public Library,"PO Box 567 Wayne, WV 25570-0567","-82.441032, 38.222209"
Webster-Addison Public Library,"331 S. Main St. Webster Springs, WV 26288-1123","-80.409077, 38.475032"
West Huntington Public Library,"901 14th St. W. Huntington, WV 25704-2308","-82.4778563, 38.4080287"
White Sulphur Springs Public Library,"344 Main St. W White Sulphur Springs, WV 24986-2411","-80.3028028, 37.7899301"
Whitesville Public Library,"PO Box 747 Whitesville, WV 25209-0747","-81.534791, 37.980534"
Williamson Public Library,"101 Logan St. Williamson, WV 25661-3630","-82.27872579999999, 37.6724051"
Williamstown Public Library,"201 W. 5th St. Williamstown, WV 26187-1500","-81.4499489, 39.4008001"
Wyoming County Public Library,"PO Box 130 Pineville, WV 24874-0130","-81.535722, 37.581150"
