"type","county","name","address","city","zip","zip4","phone","fax","url","grades"
"PUBLIC","Hancock","Oak Glen High School","195 Golden Bear Drive ","New Cumberland","26047","9172","5643500","3872079","http://www.edline.net/pages/Oak_Glen_High_School","PK12"
"PUBLIC","Hardy","Moorefield Intermediate School","345 Caledonia Heights Road ","Moorefield","26836","","5303450","5303451","","0305"
"PUBLIC","Hardy","Moorefield Elementary School","400 North Main Street ","Moorefield","26836","1015","5306356","5302536","http://www.hardycountyschools.com/~mes","PK02"
"PUBLIC","Hardy","Moorefield High School","401 North Main Street ","Moorefield","26836","1098","5306034","5307569","","0912"
"PUBLIC","Hardy","Moorefield Middle School","303 Caledonia Heights Road ","Moorefield","26836","9507","4343000","4343003","","0608"
"PUBLIC","Hardy","East Hardy Early/Middle School","P. O. Box 260 238 Cougar Drive","Baker","26801","260","8975970","8976653","","PK08"
"ADMINISTRATIVE","Hardy","Hardy County Schools","510 Ashby Street ","Moorefield","26836","1099","5302348","5302340","http://www.hardycountyschools.com",""
"PUBLIC","Hardy","East Hardy High School","P. O. Box 120 259 Cougar Drive","Baker","26801","120","8975948","8976261","http://www.hardycountyschools.com/~ehhs","0912"
"NON-PUBLIC","Harrison","Mother Goose","401 W. Va. Avenue ","Nutter Fort","26301","","6230789","","",""
"PUBLIC","Harrison","Mountaineer Middle School","2 Mountaineer Dr ","Clarksburg","26301","","3267620","3267632","","0608"
"PUBLIC","Harrison","United High School","","","","","","","",""
"PUBLIC","Harrison","Simpson Elementary School","250 Worthington Dr ","Bridgeport","26330","","3267060","8422568","","PK05"
"NON-PUBLIC","Harrison","Emmanuel Christian School","1318 N 16th St ","Clarksburg","26301","","6246125","","",""
"PUBLIC","Harrison","Washington Irving Middle School","443 Lee Ave ","Clarksburg","26301","","3267420","6243388","http://harcoboe.com/wimiddle","0608"
"PUBLIC","Harrison","North View Elementary School","1400 N 19th Street ","Clarksburg","26301","","3267650","6243287","","PK05"
"NON-PUBLIC","Harrison","St Mary's Elementary School","107 E Pike St ","Clarksburg","26301","","6229831","","",""
"PUBLIC","Harrison","Pressley Ridge School","Rr 5 Box 697 ","Clarksburg","26301","","6249875","6249871","","0712"
"PUBLIC","Harrison","Bridgeport Middle School","413 Johnson Ave ","Bridgeport","26330","","3267142","8426275","http://www.wvonline.com/bms/bms.html","0608"
"PUBLIC","Harrison","Lost Creek Elementary School","Po Box 128 ","Lost Creek","26385","","3267040","7454393","","PK05"
"NON-PUBLIC","Harrison","Heritage Christian School","225 Newton Avenue","Bridgeport","26330","","8421740","","http://www.hcswv.org/",""
"PUBLIC","Harrison","Robert C. Byrd High School","1 Eagle Way ","Clarksburg","26301","","3267200","6243211","","0912"
"PUBLIC","Harrison","Nutter Fort Intermediate School","1302 Buckhannon Pike ","Nutter Fort","26301","","3267501","6243259","","0305"
"PUBLIC","Harrison","Adamston Elementary School","1636 W Pike St ","Clarksburg","26301","","3267070","6243270","http://www.harcoboe.com/adamston/","PK05"
"NON-PUBLIC","Harrison","Madonna Center For Children","444 E Pike St ","Clarksburg","26301","","6224453","","",""
"PUBLIC","Harrison","Lincoln High School","Rr 1 Box 300 ","Shinnston","26431","","3267400","5923415","http://www.iolinc.net/lhs/","0912"
"PUBLIC","Harrison","Big Elm Elementary School","200 Tetrick Rd ","Shinnston","26431","","3267280","5923255","http://bigelm.harr.k12.wv.us/","PK05"
"NON-PUBLIC","Harrison","Cubby's Child Care Center","449 Cherry St ","Bridgeport","26330","","8423508","","",""
"PUBLIC","Harrison","Bridgeport High School","515 Johnson Ave ","Bridgeport","26330","","3267137","8426288","http://www.wvonline.com/bhs/","0912"
"PUBLIC","Harrison","West Milford Elementary School","226 School St ","West Milford","26451","","3267030","7454488","http://www.harcoboe.com/WestMilfordElementarySchool/index.cfm","PK05"
"NON-PUBLIC","Harrison","Berean Baptist School","Po Box 151 ","Gypsy","26361","","5921430","","",""
"PUBLIC","Harrison","South Harrison Middle School","Rr 1 Box 58b ","Lost Creek","26385","","3267460","7455587","http://www.harcoboe.com/southharrisonmiddleschool/","0608"
"PUBLIC","Harrison","Harrison Co Transitional Middle School","1349 Shinnston Pk","Clarksburg","26301","","3267560","6243245","",""
"PUBLIC","Harrison","Norwood Elementary School","208 Kidd Ave ","Stonewood","26301","","3267050","6243286","","PK05"
"NON-PUBLIC","Harrison","Notre Dame High School","127 E Pike St ","Clarksburg","26301","","6231026","","",""
"PUBLIC","Harrison","United Technical Center","251 Marietta St.","Clarksburg","26301","","3267580","6226138","http://www.wvonline.com/utc/","1112"
"PUBLIC","Harrison","Lumberport Middle School","314 Main Street ","Lumberport","26386","","3267540","5844602","http://www.lumberportmiddleschool.com","0608"
"PUBLIC","Harrison","Lumberport Elementary School","Po Box 417 Chestnut & Lyndon Streets","Lumberport","26386","","3267020","5845943","","PK05"
"NON-PUBLIC","Harrison","Union High School","216 Roley St ","Bridgeport","26330","","8421745","","",""
"PUBLIC","Harrison","Harrison Co Alternative Learning Center","Rr 3 Box 43b ","Clarksburg","26301","","3267560","6243245","",""
"PUBLIC","Harrison","Salem Elementary","Rr 1 Box 10a ","Salem","26426","","3267180","","","PK05"
"PUBLIC","Harrison","Johnson Elementary School","531 Johnson Ave ","Bridgeport","26330","","3267109","8426562","http://www.harcoboe.com/jes","PK05"
"NON-PUBLIC","Harrison","Headstart-Central Wv Community Action","106 Frederick St ","Clarksburg","26301","","6231665","","",""
"PUBLIC","Harrison","South Harrison High School","Rr 1 Box 58 ","Lost Creek","26385","","3267440","7454292","http://www.southharrison.com","0912"
"PUBLIC","Harrison","Nutter Fort Primary School","1302 Buckhannon Pike ","Nutter Fort","26301","","3267520","6243382","http://www.wvonline.com/nfs/","PK02"
"ADMINISTRATIVE","Harrison","Harrison County Schools","PO Box 1370 ","Clarksburg","26301","","3267300","6243361","http://www.harcoboe.com",""
"NON-PUBLIC","Harrison","Apostolic Christian Academy","Rt 3, Box 303c ","Clarksburg","26301","","6244459","","",""
"PUBLIC","Harrison","Liberty High School","1 Mountaineer Dr ","Clarksburg","26301","","3267470","6233159","http://www.wvonline.com/liberty/","0912"
"PUBLIC","Harrison","Wilsonburg Elementary School","Rr 4 Box 1 ","Clarksburg","26301","","3267640","6243279","","PK05"
"PUBLIC","Jackson","Evans Elementary School","205 Schoolhouse Drive ","Evans","25241","","3727333","3727317","","PK05"
"PUBLIC","Jackson","Ravenswood High School","Plaza Drive ","Ravenswood","26164","","2739301","2739556","","0912"
"ADMINISTRATIVE","Jackson","Jackson County Schools","PO Box 770","Ripley","25271","","3727300","3727312","http://boe.jack.k12.wv.us/",""
"PUBLIC","Jackson","Ravenswood Middle School","409 Sycamore Street ","Ravenswood","26164","","2735480","2735746","","0608"
"PUBLIC","Jackson","Ravenswood Grade School","Rt 2, Box 22-A ","Ravenswood","26164","","2735391","2735392","http://ravgrade.tripod.com/rgs/","0305"
"PUBLIC","Jackson","Kenna Elementary School","650 Route 21 ","Kenna","25248","","3727343","3727313","","PK05"
"NON-PUBLIC","Jackson","Heritage Christian Academy","P.o. Box 427 ","Ravenswood","26164","","2739463","8682229","",""
"PUBLIC","Jackson","Fairplain Elementary School","Rt 3 Box 147 ","Ripley","25271","","3727340","3727347","http://fairplain.jack.k12.wv.us/","PK05"
"PUBLIC","Jackson","Ripley High School","2 School Street ","Ripley","25271","","3727355","3727334","http://ripleyhs.jack.k12.wv.us","0912"
"PUBLIC","Jackson","Cottageville Elementary School","100 School Street ","Cottageville","25239","","3727330","3727342","http://members.tripod.com/~cottageville/","PK05"
"PUBLIC","Jackson","Ripley Middle School","Route 2, Box 75-A Klondyke Road","Ripley","25271","","3727350","3727332","http://ripleyms.jack.k12.wv.us","0608"
"PUBLIC","Jackson","Ripley Elementary School","404 Second Avenue ","Ripley","25271","","3727345","3727364","","PK05"
"PUBLIC","Jackson","Henry J Kaiser Elementary School","803 Kaiser Avenue ","Ravenswood","26164","","2732692","2733029","http://henryjkaiser.jack.k12.wv.us/","PK02"
"PUBLIC","Jackson","Gilmore Elementary School","Rt. 3, Box 28-A ","Sandyville","25275","","2733511","2739560","","PK05"
"PUBLIC","Jackson","Roane-Jackson Technical Center","9450 Spencer Rd","Leroy","25252","","3727335","3727336","",""
"NON-PUBLIC","Jefferson","Rock Spring Child Learning Center","114 Poor Farm Road ","Kearneysville","25430","","","","",""
"PUBLIC","Jefferson","South Jefferson Elementary School","4599 Summit Point Road ","Charles Town","25414","4673","7289216","7256428","http://boe.jeff.k12.wv.us/sjes","0K05"
"PUBLIC","Jefferson","Washington High School","300 Washington Patriots Drive ","Charles Town","25414","4961","8855110","7259233","http://boe.jeff.k12.wv.us/whs","0912"
"PUBLIC","Jefferson","Shepherdstown Elementary School","662 South Church Street ","Shepherdstown","25443","4717","8766270","8766850","http://boe.jeff.k12.wv.us/ses","0K05"
"PUBLIC","Jefferson","Wildwood Middle School","1209 Shenandoah Junction Road ","Shenandoah Junction","25442","4035","7284518","7289521","http://boe.jeff.k12.wv.us/wms","0608"
"PUBLIC","Jefferson","Page Jackson Elementary","370 Page Jackson School Road ","Charles Town","25414","5502","7289212","7252968","http://boe.jeff.k12.wv.us/pjes","PK02"
"PUBLIC","Jefferson","Harpers Ferry Middle School","1710 West Washington Street ","Harpers Ferry","25425","6325","5356357","5356986","http://boe.jeff.k12.wv.us/hfms","0608"
"PUBLIC","Jefferson","Blue Ridge Elementary School","18866 Charles Town Road ","Harpers Ferry","25425","5503","7252995","7287041","http://boe.jeff.k12.wv.us/bres","0205"
