"type","county","name","address","city","zip","zip4","phone","fax","url","grades"
"PUBLIC","Kanawha","Ruffner Elementary School","809 Litz Drive ","Charleston","25311","","3481130","3481131","http://kcs.kana.k12.wv.us/ruffner","PK05"
"NON-PUBLIC","Kanawha","South Charelston Christian Academy","Seventh And E Street ","South Charleston","25303","","4441258","","",""
"PUBLIC","Kanawha","Marmet Elementary School","408 94th St ","Marmet","25315","","9492382","","http://marmet.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Elk Valley Christian School","58 Mount Pleasant Drive ","Elkview","25071","","9657063","","",""
"PUBLIC","Kanawha","Clendenin Elementary School","P O Box 462 ","Clendenin","25045","","9655311","5487372","http://clendenin.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Saint Albans High School","2100 Kanawha Terrace ","St. Albans","25177","","7220212","7220211","http://stalbanshigh.com","0912"
"PUBLIC","Kanawha","Alum Creek Elementary School","Rt 7 Box 279a ","So Charleston","25309","","3481935","3481936","http://kanawha-k12.wvnet.edu/alumcreek/","PK05"
"PUBLIC","Kanawha","Elkview Middle School","5090 N Elk River Rd ","Elkview","25071","","3481947","3486590","http://kcs.kana.k12.wv.us/schools/elkviewmiddle/","0608"
"PUBLIC","Kanawha","Elk Elementary Center","3320 Pennsylvania Ave ","Charleston","25302","","3487776","9656921","http://elk.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Richmond Elementary School","4620 Spring Hill Avenue ","South Charleston","25309","","7660357","","http://richmond.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Twin City Christian Academy","100 1st Avenue ","Nitro","25143","","7293002","","",""
"PUBLIC","Kanawha","Lakewood Elementary School","2089 Lakewood Drive ","St. Albans","25177","","7220200","7220456","http://kcs.kana.k12.wv.us/lakewood","PK05"
"NON-PUBLIC","Kanawha","Bible Center School","1111 Oakhurst Drive ","Charleston","25314","","3460431","","http://www.biblecenterchurch.com/school",""
"PUBLIC","Kanawha","Chandler Elementary School","1900 School Street ","Charleston","25312","","3481902","3481903","","PK05"
"PUBLIC","Kanawha","Herbert Hoover High School","5096 N Elk River Rd ","Elkview","25071","","9653394","9651871","http://kcs.kana.k12.wv.us/herberthoover/","0912"
"ADMINISTRATIVE","Kanawha","Kanawha County Schools","200 Elizabeth Street ","Charleston","25311","","3487770","3486188","http://kcs.kana.k12.wv.us/",""
"PUBLIC","Kanawha","Du Pont Middle School","1 Panther Way ","Belle","25015","","3481978","9491793","http://dupont.kana.k12.wv.us/","0608"
"PUBLIC","Kanawha","George C. Weimer Elementary School","3040 Kanawha Terrace ","St. Albans","25177","","7220205","7220206","http://kcs.kana.k12.wv.us/weimer/","PK05"
"PUBLIC","Kanawha","Point Harmony Elementary School","5312 Big Tyler Road ","Cross Lanes","25313","","7763482","7766476","http://kcs.kana.k12.wv.us/phele/","0K05"
"NON-PUBLIC","Kanawha","King's Way Christian Academy","134 Jenkins Drive ","Charleston","25312","","7204994","","",""
"PUBLIC","Kanawha","Kanawha City Elementary School","3601 Staunton Avenue Se ","Charleston","25304","","3481985","3486537","http://kc.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Carver Career Center","4799 Midland Dr ","Charleston","25306","","3481965","3481938","http://www.carvercareercenter.edu/",""
"PUBLIC","Kanawha","Central Elementary School","900 Helene Street ","St. Albans","25177","","7220226","7220227","http://centralelem.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Tyler Middle School","4277 West Washington Street ","Charleston","25313","","3486133","3486690","","0609"
"PUBLIC","Kanawha","Cedar Grove Middle School","Po Box J ","Cedar Grove","25039","","9491642","","https://sites.google.com/a/mail.kana.k12.wv.us/cedar-grove-middle-school/","0608"
"PUBLIC","Kanawha","Watts Elementary School","230 Costello St ","Charleston","25302","","3486635","3486644","","PK05"
"NON-PUBLIC","Kanawha","Sacred Heart Elementary","1035 Quarrier Street ","Charleston","25301","","3465491","","",""
"PUBLIC","Kanawha","Overbrook Elementary School","218 Overbrook Rd ","Charleston","25314","","3486179","","","PK05"
"NON-PUBLIC","Kanawha","Brookside Childrens Home","Po Box 112 ","Charleston","25321","","9259625","","",""
"PUBLIC","Kanawha","Grandview Elementary School","959 Woodward Drive ","Charleston","25312","","3481928","7460771","","PK05"
"PUBLIC","Kanawha","Chandler Academy","1900 School Street","Charleston","25312","","3486133","","http://chandler.kana.k12.wv.us/","0612"
"PUBLIC","Kanawha","Bridge Elementary School","5120 Elk River Road N ","Elkview","25071","","9655501","3481125","http://bridge.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","South Charleston Middle School","400 Third Avenue ","South Charleston","25303","","3481918","7444869","http://kcs.kana.k12.wv.us/scms/","0608"
"PUBLIC","Kanawha","John Adams Middle School","2002 Presidential Dr ","Charleston","25314","","3486652","3486592","http://www.edline.net/pages/John_Adams_Junior_High_School","0608"
"PUBLIC","Kanawha","Shoals Elementary School","100 Dutch Rd ","Charleston","25302","","3481900","","http://shoals.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Charleston Catholic High School","1033 Virginia Street ","Charleston","25311","","3428415","","http://www.charlestoncatholic-crw.org",""
"PUBLIC","Kanawha","Montrose Elementary School","631 Montrose Drive ","So. Charleston","25303","","3481930","3477409","http://montrose.kana.k12.wv.us/","0K05"
"NON-PUBLIC","Kanawha","Day Care","212 D Street ","South Charleston","25303","","7442845","","",""
"PUBLIC","Kanawha","Flinn Elementary School","2006 Mcclure Parkway ","Charleston","25312","","3481960","3481959","http://kcs.kana.k12.wv.us/flinn","0K04"
"PUBLIC","Kanawha","Capital High School","1500 Greenbrier St ","Charleston","25311","","3486500","3486509","http://www.capitalhigh.org/","PK12"
"PUBLIC","Kanawha","Belle Elementary School","401 E 6th Street ","Belle","25015","","9492612","9495854","http://belle.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Mckinley Middle School","3000 Kanawha Terrace ","St. Albans","25177","","7220218","7220246","http://mckinley.kana.k12.wv.us/","0608"
"PUBLIC","Kanawha","Edgewood Elementary","550 Hawks Ridge","Charleston","25302","","","","http://edgewood.kana.k12.wv.us/",""
"PUBLIC","Kanawha","Dunbar Intermediate Center","1330 Myers Avenue ","Dunbar","25064","","7661570","","http://di.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Ruthlawn Elementary School","Rt 8 Box 428 ","So Charleston","25309","","7449481","7449482","http://kcs.kana.k12.wv.us/ruthlawn/","PK05"
"NON-PUBLIC","Kanawha","Saint Agnes School","4801 Staunton Avenue Se ","Charleston","25304","","9254341","","http://stagneswv.org",""
"PUBLIC","Kanawha","Mary Ingles Elementary School","Po Box 367 ","Tad","25201","","3481975","3481976","http://kcs.kana.k12.wv.us/maryingles","PK05"
"NON-PUBLIC","Kanawha","Fairhaven Christian School","689 Fairhaven Drive ","Charleston","25306","","9255954","","http://www.fhcscomets.org",""
"PUBLIC","Kanawha","Cross Lanes Elementary School","5525 Big Tyler Road ","Charleston","25313","","7762022","7762029","http://cl.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Sissonville High School","6100 Sissonville Dr. ","Charleston","25312","","3481954","3486565","http://kcs.kana.k12.wv.us/sisshigh/","0912"
"PUBLIC","Kanawha","Andrews Heights Elementary School","P O  Box 340 ","Tornado","25202","","7220232","7220243","http://ah.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Hayes Middle School","830 Strawberry Road ","St. Albans","25177","","7220222","7220247","http://hayes.kana.k12.wv.us/","0608"
"PUBLIC","Kanawha","Bridgeview Elementary School","5100 Ohio Street ","South Charleston","25309","","7660383","7660388","http://bridgeviewelementary.weebly.com/","PK05"
"PUBLIC","Kanawha","J E Robins Elementary School","915 Beech Ave ","Charleston","25302","","3486631","3486634","","PK05"
"NON-PUBLIC","Kanawha","Bible Baptist Christian School","7020 Sissonville Drive ","Sissonville","25320","","9840451","9840450","",""
"PUBLIC","Kanawha","Malden Elementary School","4001 Salinas Drive ","Charleston","25306","","3481973","3481974","http://malden.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Cross Lanes Christian School","5330 Floradale Drive ","Charleston","25313","","7765020","","http://www.crosslanes.org",""
"PUBLIC","Kanawha","Chesapeake Elementary School","13620 Mccorkle Ave ","Chesapeake","25315","","9491121","9492351","http://chesapeake.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Nitro High School","1300 Park Avenue ","Nitro","25143","","7554321","7554345","http://kcs.kana.k12.wv.us/nitrohigh/","0912"
"PUBLIC","Kanawha","Alban Elementary School","2030 Harrison Avenue ","St. Albans","25177","","7220234","7220235","http://alban.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","East Bank Middle School","Po Box 897 ","East Bank","25067","","5952311","5954676","https://sites.google.com/a/mail.kana.k12.wv.us/ebms/","0608"
"PUBLIC","Kanawha","Shawnee Community Center","142 Marshall Avenue ","Dunbar","25064","","7660378","7660378","","PKPK "
"PUBLIC","Kanawha","Pratt Elementary School","Center And Stark Street ","Pratt","25162","","9494838","4424541","http://pratt.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Dollie Hill Christian Academy","Route 7 Box 112 ","South Charleston","25303","","7684193","","",""
"PUBLIC","Kanawha","Kenna Elementary School","198 Eureka Rd ","Charleston","25314","","3486104","3486107","http://kcs.kana.k12.wv.us/kenna","PK05"
"PUBLIC","Kanawha","Garnet Career Center","422 Dickinson Street ","Charleston","25301","","3486195","3486198","http://kcs.kana.k12.wv.us/garnet/index.html",""
"PUBLIC","Kanawha","Chamberlain Elementary School","4901 Venable Av S E ","Charleston","25304","","3481969","3481970","http://chamberlain.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","George Washington High School","1522 Tennis Club Rd ","Charleston","25314","","3487729","3444947","http://gwhs.kana.k12.wv.us","0912"
"PUBLIC","Kanawha","Dunbar Middle School","325 27th Street ","Dunbar","25064","","7660363","7660365","http://kcs.kana.k12.wv.us/schools/dunbar","0608"
"PUBLIC","Kanawha","Weberwood Elementary School","732 Gordon Road ","So. Charleston","25303","","3481924","3477421","http://weberwood.kana.k12.wv.us/","PK05"
"ADMINISTRATIVE","Lewis","Lewis County Schools","239 Court Avenue ","Weston","26452","","2698300","2698305","http://lewisboe.com",""
"NON-PUBLIC","Lewis","St. Patrick School","224 Center Street ","Weston","26452","","2695547","","",""
"PUBLIC","Lewis","Lewis County High School","205 Minuteman Drive ","Weston","26452","","2698315","2698319","http://lewisboe.com/lchs","0912"
"PUBLIC","Lewis","Jane Lew Elementary School","6536 Main Street ","Jane Lew","26378","","8847836","8847185","http://lewisboe.com/jles","PK04"
"PUBLIC","Lewis","Leading Creek Elementary","15300 US Highway 33W","Linn","26384","","4627127","4624925","http://lewisboe.com/lces","PK06"
"PUBLIC","Lewis","Roanoke Elementary School","1176 Oil Creek Road ","Roanoke","26447","","4528887","4520438","http://lewisboe.com/res","PK04"
"NON-PUBLIC","Lewis","Lewis County Christian School","Post Office Box 230 ","Weston","26452","","2696492","","",""
"PUBLIC","Lewis","Robert L. Bland Middle School","358 Court Avenue ","Weston","26452","","2698325","2698310","http://lewisboe.com/rlbms","0508"
"PUBLIC","Lewis","Peterson-Central Elementary School","509 Berlin Road ","Weston","26452","","2698330","2698351","http://lewisboe.com/pces","PK04"
"PUBLIC","Lincoln","Duval Pk-8","5304 Straight Fork","Griffithsville","25521","","5242101","","http://duvalyellowjackets.net","PK08"
"PUBLIC","Lincoln","Lincoln County High School","81 Lincoln Panther Way ","Hamlin","25523","","8246000","","http://boe.linc.k12.wv.us/education/school/school.php?sectionid=1","0912"
"PUBLIC","Lincoln","West Hamlin Elementary","114 Dairy Road","West Hamlin","25571","","8243630","8243630","http://westhamlinroughriders.net","PK05"
"PUBLIC","Lincoln","Midway Elementary School","267 Midway Road","Alum Creek","25003","","7563121","7561459","http://midwaymustanges.net","PK05"
"PUBLIC","Lincoln","Hamlin Pk-8","8130 Court Ave ","Hamlin","25523","","8243036","","http://hamlinbobcats.net","PK08"
"ADMINISTRATIVE","Lincoln","Lincoln County Schools","10 Marland Avenue ","Hamlin","25523","","8243033","8247947","http://boe.linc.k12.wv.us",""
"PUBLIC","Lincoln","Guyan Valley Middle","5312 McClellan Hwy","Branchland","25506","","8243235","","http://guyanvalleywildcats.net","0608"
"PUBLIC","Lincoln","Ranger Elementary","59 Vanatters Creek ","Ranger","25557","9719","7783454","7783454","http://rangersrangers.net","PK05"
"PUBLIC","Lincoln","Harts Pk-8","1246 Mcclellan Highway ","Harts","25524","","","","http://hartslions.net","PK08"
"PUBLIC","Logan","Chapmanville Middle School","300 Vance St. ","Chapmanville","25508","","8558378","8551307","http://www.cms.logancountyschoolswv.com/","0508"
"PUBLIC","Logan","Buffalo Elementary School","Po Box 310 ","Accoville","25606","","5839132","5837512","http://www.bes.logancountyschoolswv.com/","PK03"
"PUBLIC","Logan","Man Elementary School","Box 269 ","Mallory","25634","","5838316","5837342","http://www.mes.logancountyschoolswv.com/","0K04"
"PUBLIC","Logan","Omar Elementary","Route 44 Box 590","Omar","25638","","9462660","9464236","http://www.oes.logancountyschoolswv.com/","PK04"
"PUBLIC","Logan","Verdunville Elementary School","Drawer J Hill Drive","Verdunville","25649","","7521656","7522142","http://www.ves.logancountyschoolswv.com/","PK04"
"NON-PUBLIC","Logan","Beth Haven Christian School","Route 44 Box 620 ","Omar","25638","","9464447","","",""
"PUBLIC","Logan","Logan Elementary School","Midelburg Island ","Logan","25601","","7524180","7525463","http://www.les.logancountyschoolswv.com/","PK04"
"PUBLIC","Logan","Man Senior High School","800 East Mcdonald Avenue ","Man","25635","","5836521","5836566","http://www.mhs.logancountyschoolswv.com/","0912"
"PUBLIC","Logan","Hugh Dingess Elementary School","Rt. 1 Box 607","Harts","25524","","8553585","8556600","http://www.hdes.logancountyschoolswv.com/","PK04"
"PUBLIC","Logan","Chapmanville Regional High School","200 Vance Street ","Chapmanville","25508","","8554522","8551911","http://www.crhs.logancountyschoolswv.com/","0912"
"PUBLIC","Logan","Chapmanville East Elementary School","P.o. Box 340 ","Chapmanville","25508","","8553302","8557568","http://www.eces.logancountyschoolswv.com/","PK04"
"PUBLIC","Logan","Logan Middle School","14 Wildcat Way ","Logan","25601","","7521804","7520207","http://www.lms.logancountyschoolswv.com/","0508"
"PUBLIC","Logan","Man Middle School","Box 390 ","Mallory","25634","","5838316","5837342","http://www.mms.logancountyschoolswv.com/","0508"
"PUBLIC","Logan","West Chapmanville Elementary School","100 Vance Street Box 310","Chapmanville","25508","","8553209","8553376","http://www.wces.logancountyschoolswv.com/","PK04"
"ADMINISTRATIVE","Logan","Logan County Schools","PO Box 477","Logan","25601","","7922060","7523711","http://www.logancountyschoolswv.com/",""
"NON-PUBLIC","Logan","Truthway Christian Academy","Rr 1 Box 358 ","Chapmanville","25508","","8559267","","",""
"PUBLIC","Logan","South Man Elementary School","301 East Mcdonald Avenue ","Man","25635","","5837522","5838046","http://www.smes.logancountyschoolswv.com/","PK03"
"PUBLIC","Logan","Ralph R. Willis Vocational Center","Three Mile Curve Po Box 1747","Logan","25601","","7524687","7522943","",""
"PUBLIC","Logan","Justice Elementary School","407 Circle Dirve ","Logan","25601","","7523250","7525456","http://www.jes.logancountyschoolswv.com/","PK04"
"PUBLIC","Logan","Logan Senior High School","1 Wildcat Way ","Logan","25601","","7526606","7526614","http://www.lhs.logancountyschoolswv.com/","0912"
"PUBLIC","Logan","Holden Central Elementary School","Box M ","Holden","25625","","2392771","2392514","http://www.hces.logancountyschoolswv.com/","PK04"
"PUBLIC","Marion","Monongah Middle School","550 Camden Avenue ","Monongah","26554","1198","3672164","3672164","","0508"
"PUBLIC","Marion","East Dale Elementary School","Rt.3  57 East Dale Road ","Fairmont","26554","9803","3672132","3662522","http://eastdale.mari.k12.wv.us","PK06"
"NON-PUBLIC","Marion","Calvary Christian School","28 Fellowship Drive ","Fairmont","26554","","3638008","","",""
"PUBLIC","Marion","Fairview Middle School","17 Jesses Run Road ","Fairview","26570","9300","4491312","4491305","http://www.labs.net/schools/marion/fairviewmiddleschool","PK08"
"PUBLIC","Marion","Barrackville Elementary/Middle School","P O Box 150 509 Pike Street","Barrackville","26559","150","3672128","3672173","http://www.bvilleschool.com","0K08"
"PUBLIC","Marion","Marion County Technical Center","2 North Marion Drive Route 250 North","Farmington","26571","9709","9863590","9863440","http://www.mctconline.com",""
"PUBLIC","Marion","White Hall Elementary School","38 Emerald Lane ","White Hall","26554","8906","3672158","3672181","","PK04"
"ADMINISTRATIVE","Marion","Marion County Schools","1516 Mary Lou Retton Drive","Fairmont","26554","2739","3672100","3672111","http://www.marionboe.com",""
"PUBLIC","Marion","North Marion High School","1 North Marion Drive ","Farmington","26571","3086","9863063","9863086","http://www.labs.net/schools/marion/nmhs/","0912"
"PUBLIC","Marion","Pleasant Valley Elementary School","1858 Valley School Road ","Pleasant Valley","26554","9219","3672148","3672175","","0K06"
"PUBLIC","Marion","East Fairmont High School","1993 Airport Road ","Fairmont","26554","9138","3672140","3672180","http://www.wvonline.com/efhs","PK12"
"PUBLIC","Marion","Jayenne Elementary School","1504 Country Club Road ","Fairmont","26554","1307","3672136","3672178","","PK04"
"PUBLIC","Marion","West Fairmont Middle School","1010 Tenth Street ","Fairmont","26554","","3665631","3665636","","0508"
"PUBLIC","Marion","East Park Elementary School","1025 Fairfax Street ","Fairmont","26554","4298","3672134","3672187","https://sites.google.com/a/wvde.k12.wv.us/east-park-elementary-library/","PK06"
"NON-PUBLIC","Marion","Fairmont Catholic Ele.","416a Madison ","Fairmont","26554","2946","3635313","","",""
"PUBLIC","Marion","Mannington Middle School","113 Clarksburg Street ","Mannington","26582","1396","9861050","9861747","","PK08"
"PUBLIC","Marion","Rivesville Elementary/Middle School","229 Phillips Avenue ","Rivesville","26588","9838","2785331","2785351","","PK08"
"NON-PUBLIC","Marion","Act Academy","415 Potomac Avenue ","Fairmont","26554","","9069950","","",""
"PUBLIC","Marion","Blackshere Elementary School","77 Blackshere Drive ","Mannington","26582","9091","9862707","9862715","http://hometown.aol.com/kevinhaugh/index.html","PK04"
"PUBLIC","Marion","Marion Co Adult And Community Ed Center","601 Locust Ave. ","Fairmont","26554","","3637323","3662483"," ","0912"
"PUBLIC","Marion","Barnes Learning Center (Alc)","100 Naomi Street ","Fairmont","26554","1834","3672127","3672174","",""
"PUBLIC","Marion","Watson Elementary School","1579 Mary Lou Retton Dr ","Fairmont","26554","2238","3672156","3660107","","PK04"
"PUBLIC","Marion","Fairmont Senior High School","Loop Park Drive ","Fairmont","26554","2599","3672150","3665988","http://fhs.mari.k12.wv.us/","0912"
"PUBLIC","Marion","Monongah Elementary School","628 Walnut Street ","Monongah","26554","1199","3672159","3672188","","PK04"
"PUBLIC","Marion","East Fairmont Middle School","221 Mason Street","Fairmont","26554","4098","3672123","3672179","","0708"
"PUBLIC","Marion","Fairview Elementary School","Po Box 39 100 School Street","Fairview","26570","39","4491752","4491866","","0K04"
"ADMINISTRATIVE","Marshall","Marshall County Schools","PO Box 578","Moundsville","26041","","8434400","8434409","http://boe.mars.k12.wv.us/",""
"PUBLIC","Marshall","Moundsville Middle School","223 Tomlinson Avenue ","Moundsville","26041","","8434440","8434446","http://boe.mars.k12.wv.us/mjhs/index.htm","0608"
"NON-PUBLIC","Marshall","Our Lady Of Peace School","640 Old Fairmont Pike ","Wheeling","26003","","2421383","","http://www.olpschool.org",""
"PUBLIC","Marshall","Washington Lands Elementary School","Rr 4 Box 255 ","Moundsville","26041","","8434420","8434459","http://boe.mars.k12.wv.us/washingtonlands/index.htm","PK05"
"NON-PUBLIC","Marshall","St Francis Xavier School","600 Jefferson Avenue ","Moundsville","26041","","8452562","","http://stfrancis-school.net",""
"PUBLIC","Marshall","Mcninch Primary School","2600 Fourth Street ","Moundsville","26041","","8434431","8434461","http://boe.mars.k12.wv.us/mcninch/index.htm","PK02"
"PUBLIC","Marshall","John Marshall Adult Prep","John Marshall High School 1300 Wheeling Avenue","Glen Dale","26038","","8434444","8434419","",""
"PUBLIC","Marshall","Glen Dale Elementary School","407 Seventh Street ","Glen Dale","26038","","8434427","8434464","http://www.edline.net/pages/glendale","PK05"
"PUBLIC","Marshall","John Marshall High School","1300 Wheeling Avenue ","Glen Dale","26038","","8434444","8434419","http://jmhs.mars.k12.wv.us/","0912"
"PUBLIC","Marshall","Cameron Elementary School","12 Church Street ","Cameron","26033","","6863305","6863502","http://boe.mars.k12.wv.us/cameronelem/index.htm","PK06"
"PUBLIC","Marshall","Sherrard Middle School","1000 Fairmont Pike ","Wheeling","26003","","2333331","2336418","http://boe.mars.k12.wv.us/sherrard/index.htm","0608"
"PUBLIC","Marshall","Hilltop Elementary School","2 Ram Drive ","Wheeling","26003","","2328640","2321044","","PK05"
"NON-PUBLIC","Marshall","St James & John School","52 Seventh Street ","Benwood","26031","","2321587","","",""
"PUBLIC","Marshall","Sand Hill Elementary School","Rr 1 Box 87 ","Dallas","26036","","5475041","5475041","http://boe.mars.k12.wv.us/sandhill/index.htm","0K05"
"NON-PUBLIC","Marshall","Bishop Donahue Memorial High School","325 Logan Street ","Mcmechen","26040","","2333850","","http://www.bishopdonahue.org",""
"PUBLIC","Marshall","Center Mcmechen Elementary School","800 Marshall Street ","Mcmechen","26040","","2326530","2326520","http://boe.mars.k12.wv.us/centermcmechen/index.htm","PK05"
"PUBLIC","Marshall","Gateway Achievement Center","21 Park Street ","Moundsville","26041","","8434526","8434528","","0912"
"PUBLIC","Marshall","Central Elementary School","750 Tomlinson Avenue ","Moundsville","26041","","8434425","8434426","http://boe.mars.k12.wv.us/central/index.htm","0305"
"PUBLIC","Marshall","Cameron High School","61 Maple Avenue ","Cameron","26033","","6863336","6863510","http://boe.mars.k12.wv.us/cameron/index.htm","0712"
"NON-PUBLIC","Mason","Wesleyan Holiness Academy","2300 Lincoln Avenue ","Point Pleasant","25550","","6751180","","",""
"PUBLIC","Mason","Beale Elementary School","12897 Huntington Road","Gallipolis Ferry","25515","","6751260","6751261","http://beale.maso.k12.wv.us","PK06"
"PUBLIC","Mason","Wahama High School","P.o. Box 348 ","Mason","25260","","7735539","7735216","http://whs.maso.k12.wv.us","0712"
"PUBLIC","Mason","Hannan High School","15638 Ashton Upland Road ","Ashton","25503","","7433212","7434513","","0712"
"PUBLIC","Mason","Pt. Pleasant Primary","2200 Lincoln Ave ","Pt. Pleasant","0","","6751420","6751474","","PK02"
"PUBLIC","Mason","Roosevelt Elementary School","Route 2 Box 841 ","Point Pleasant","25550","","6753337","6757331","http://roosevelt.maso.k12.wv.us/index.html","0K06"
"NON-PUBLIC","Mason","Christ Academy","P.o. Box 224 ","Point Pleasant","25550","","6751559","","",""
"PUBLIC","Mason","Leon Elementary School","138 Aylor Street ","Leon","25123","","4581710","4582049","","PK06"
"PUBLIC","Mason","Mason County Career Center","281 Scenic Drive ","Point Pleasant","25550","","6753039","6753413","",""
"ADMINISTRATIVE","Mason","Mason County Schools","1 Education Lane","Point Pleasant","25550","","6754540","6757226","http://boe.maso.k12.wv.us",""
"PUBLIC","Mason","Point Pleasant Junior/Senior High School","Rt. 1 Box 4 ","Point Pleasant","25550","","6751350","6757480","http://pphs.maso.k12.wv.us/","0712"
"PUBLIC","Mason","Pt. Pleasant Intermediate","1 Walden Way ","Pt. Pleasant","0","","6751430","6752110","","0306"
"PUBLIC","Mason","Ashton Elementary School","4250 Ashton-Upland Road ","Ashton","25503","","5769931","5769935","http://ashton.maso.k12.wv.us","PK06"
"PUBLIC","Mason","Mason County School For Success","758 Scenic Drive","Point Pleasant","25550","","","","",""
"PUBLIC","Mason","New Haven Elementary School","P.o. Box 989 ","New Haven","25265","","8822025","8822037","","PK06"
"PUBLIC","McDowell","River View High School","512 Mountaineer Highway ","Bradshaw","24817","","9677480","","","0912"
"PUBLIC","McDowell","Southside K-8","Po Box 730 ","War","24892","","8752283","8752238","","PK08"
"PUBLIC","McDowell","Kimball Elementary School","Box 308 Route #52","Kimball","24853","","5857570","5857165","","PK05"
"NON-PUBLIC","McDowell","Nazarene Christian Academy","1049 Riverside Drive ","Welch","24801","","4363827","","",""
"PUBLIC","McDowell","Fall River Elementary School","Route 7 Drawer 70 ","Big Sandy","24816","","6567665","6567430","","PK05"
"PUBLIC","McDowell","Career And Technology Center","Drawer V ","Welch","24801","","4363488","4368063","",""
"PUBLIC","McDowell","Anawalt Elementary School","Box 230 ","Anawalt","24808","","3834849","3834674","","PK05"
"PUBLIC","McDowell","Mount View High School","960 Mount View Road ","Welch","24801","","4362939","4364714","","0612"
"PUBLIC","McDowell","Sandy River Middle School","P.o. Box 419 ","Avondale","24811","","9382407","9382418","","0608"
"PUBLIC","McDowell","Welch Elementary School","1235 Stewart Street ","Welch","24801","","4364645","4364049","","PK05"
"PUBLIC","McDowell","Iaeger Elementary School","P.o. Box 359 Waters Street","Iaeger","24844","","9382227","9385258","","PK05"
"NON-PUBLIC","McDowell","Twin Branch Pentecostal Academy","Po Box 580 ","Davy","24828","","6567448","","",""
"PUBLIC","McDowell","Bradshaw Elementary School","P.o. Box 40 ","Bradshaw","24817","","9677700","9677701","","PK05"
"PUBLIC","McDowell","Phoenix Center","275 Virginia Avenue ","Welch","24801","","4362336","4364773","",""
"ADMINISTRATIVE","McDowell","McDowell County Schools","30 Central Avenue ","Welch","24801","","4368441","4364008","http://boe.mcdo.k12.wv.us/",""
"PUBLIC","Mercer","Pikeview Middle School","3550 Eads Mill Road ","Princeton","24740","3325","","","","0608"
"PUBLIC","Mercer","Mercer Elementary School","1200 Mercer Street ","Princeton","24740","3032","4253160","4873617","","0305"
"PUBLIC","Mercer","Princeton Primary","219b Old Bluefield Road ","Princeton","24740","8904","4873904","4872649","","0K02"
"PUBLIC","Mercer","Melrose Elementary School","Hc 71, Box 257 ","Princeton","24740","9010","4253757","4870819","","0K05"
"NON-PUBLIC","Mercer","Mercer Christian Academy","314-A Oakvale Road ","Princeton","24740","","4871603","4255671","http://www.mercerchristianacademy.org",""
"PUBLIC","Mercer","Mercer County Early Learning Center","821 Broadway Street ","Princeton","24740","2831","4254251","4255117","","PKPK "
"PUBLIC","Mercer","Glenwood School","1734 Glenwood Park Road ","Princeton","24740","7965","4252445","4870047","","0K08"
"PUBLIC","Mercer","Pikeview High School","3566 Eads Mill Road ","Princeton","24740","8307","3847586","3847901","","0912"
"PUBLIC","Mercer","Sun Valley Elementary School","Po Box 10 ","Lerona","25971","10","3847441","3843114","","0K05"
"PUBLIC","Mercer","Brushfork Elementary School","Rt 4  Box 93 ","Bluefield","24701","9213","3257066","3252574","","0K05"
"PUBLIC","Mercer","Montcalm High School","5366 Simmons River Road","Rock","24747","710","5893719","5897140","","0712"
"PUBLIC","Mercer","Spanishburg School","Po Box 7 ","Spanishburg","25922","7","4255854","4251229","","PK05"
"PUBLIC","Mercer","Athens School","Po Box 568 ","Athens","24712","568","3849229","3847946","","PK05"
"PUBLIC","Mercer","Princeton Middle School","300 N. Johnston Street ","Princeton","24740","2650","4257517","4872250","","0608"
"PUBLIC","Mercer","Montcalm Elementary School","Rt 2 Box 35 ","Rock","24747","9610","5895202","5897095","","PK06"
"PUBLIC","Mercer","Bluefield Middle School","2002 Stadium Drive ","Bluefield","24701","3325","3252481","3252156","http://familyeducation.com/wv/bms/","0608"
"PUBLIC","Mercer","Memorial Primary","319  Memorial Avenue ","Bluefield","24701","4939","3278016","3273933","","0K02"
"PUBLIC","Mercer","Bluefield Intermediate","1301 Southview Drive ","Bluefield","24701","4317","3278339","3278348","","0305"
"PUBLIC","Mercer","Lashmeet/Matoaka School","Po  Box 408 ","Matoaka","24736","408","4678282","4677477","http://www.geocities.com/lms-24736/","PK05"
